,_id,shopname,description,timetable,web,photo,location,address,district,neighbourhood,zip_code,type,tags,phone,product_list,nearest_stations
184,628290eba85a7a5a0184d205,Ven Vegano,Alimentació vegana envasada en la major part ecològica. Algun producte de comerç just. Higiene per la llar ecològica. Paper de WC reciclat. Higiene íntima de cotó orgànic. Vaixella de cartró. Bosses de paper i compostables.,,https://www.venvegano.com,https://i.pinimg.com/564x/83/3b/9a/833b9a1f93b05d381bc442a45fca6197.jpg,"[41.4068282, 2.1758889]","Carrer Padilla, 266",Eixample,Sagrada Família,08001,others,"['Local products', 'Plastic free', 'Herbalist']",,,"{'10533': 3161.33, '10534': 2410.5, '6669': 3016.17, '11758': 2081.13}"
185,628290eba85a7a5a0184d206,Xoc'Olive,"Alimentació ecològica, de proximitat, molta part a granel. Productes substitutius del plàstic (canyetes, raspalls de dents,...). Alimentació envasada en pots de vidre, xocolata, productes de coco i cafè de comerç just. Bosses de paper, cotó i roba.",,https://www.xocolive.com,https://cdn.pixabay.com/photo/2016/03/02/20/13/grocery-1232944_1280.jpg,"[41.4001006, 2.1418912]","Muntaner, 396",Sarrià - Sant Gervasi,Sant Gervasi - Galvany,08001,fruits & vegetables,"['Herbalist', 'Green space', 'Bar']",,,"{'10533': 2933.24, '6681': 3984.39, '6669': 1919.48, '11758': 970.52, '10532': 2635.05}"
186,628290eba85a7a5a0184d207,Llegums calderé,"Venta de llegums cuits, llegums crus i fruits secs a granel. El producte que venen és de proximitat.",,,https://i.pinimg.com/564x/f7/cc/f3/f7ccf366101db1b54067ecca8418bfe6.jpg,"[41.4336881, 2.1916304]","Carrer de Sant Adrià, 20",Sant Andreu,Sant Andreu,08030,pharmacy,"['Beverages', 'Vegan food', 'Restaurant']",,,"{'10533': 3735.2, '10534': 3484.49, '6677': 2705.41}"
187,628290eba85a7a5a0184d208,Rosa Tous,"Estilista amb venda de tints, mascaretes i xampús orgànics. Tenen gama de productes no testats en animals.",,https://rosa-tous-estilista-unisex.negocio.site/,https://i.pinimg.com/564x/b7/ed/e3/b7ede31ce52cca67b321f8e7b615403e.jpg,"[41.4342447, 2.1880139]","Carrer de Rubén Darío, 36",Sant Andreu,Sant Andreu,08030,restaurant,"['Bakery', 'Beverages', 'Allows pets']",,,"{'10533': 3457.92, '10534': 3646.24, '6677': 3010.66}"
188,628290eba85a7a5a0184d209,Biopassió,"Alimentació ecològica a granel i envasada. Tenen certs productes de proximitat (llegums, farines, cereals, mels) i d'altres més llunyans, com les espècies o els tès. <br />
Per als productes a granel utilitzen envàs de paper.",,http://www.biopassio.com/,https://i.pinimg.com/564x/83/3b/9a/833b9a1f93b05d381bc442a45fca6197.jpg,"[41.4354172, 2.1892622]","Carrer de Pons i Gallarza, 4",Sant Andreu,Sant Andreu,08030,others,"['Bakery', 'Restaurant', 'Bar']",,,"{'10533': 3593.89, '10534': 3730.51, '6677': 2957.67}"
189,628290eba85a7a5a0184d20a,El més natural,"Productes d'alimentació, dietètica, cosmètica i higiene personal ecològics. Alguns dels seus productes son de proximitat, com la mel i les herbes. <br />
Les bosses que ofereixen són de paper.",,https://www.serveisactius.cat/es/barcelones/herboristeria-dietetica-en-sant-andreu,https://i.pinimg.com/564x/10/9c/0d/109c0d7130543076a878679abc0abe9d.jpg,"[41.4383337, 2.1887606]","Carrer Gran de Sant Andreu, 357",Sant Andreu,Sant Andreu,08030,pharmacy,"['Plastic free', 'Green space', 'Allows pets']",,,"{'10533': 3661.71, '6677': 3129.05}"
190,628290eba85a7a5a0184d20b,Biopompas Sant Andreu,"Sabons, tant sòlids com líquids ecològics i a granel. Els sabons sòlids són elaborats a bohí. Els clients poden portar el seu envàs per al sabons líquids o els detergents, a la botiga també venen envasos que són reutilitzables. Les bosses que donen son de tela.",,https://biopompas.com/,https://i.pinimg.com/564x/ce/84/41/ce844160a3d2dd51382d52e955e05a50.jpg,"[41.434733, 2.1892666]","Carrer del Mercat, 6",Sant Andreu,Sant Andreu,08030,herbalist,"['For children', 'Plastic free', 'Pharmacy']",,,"{'10533': 3573.03, '10534': 3658.96, '6677': 2930.17}"
191,628290eba85a7a5a0184d20c,Granja Armengol,"Tenen productes làctics de tot tipus ecològics i de proximitat: iogurt, llet, formatge.També ous km0 i productes d'hort propi, de temporada. Es poden retornar els envasos de vidre. Descompten 2 cèntims per envàs retornat.",,http://www.granjaarmengol.com/,https://cdn.pixabay.com/photo/2016/03/02/20/13/grocery-1232944_1280.jpg,"[41.4066919, 2.1772421]","Carrer de Provença, 493",Eixample,Sagrada Família,08001,non-alimentation,"['Plastic free', 'Fruits & vegetables', 'Vegan food']",,,"{'10533': 3255.29, '10534': 2296.63, '6669': 3074.63, '11758': 2177.27}"
192,628290eba85a7a5a0184d20d,km 0 unió,"Botiga de venta directa al consumidor d’Unió, cooperativa catalana que agrupa milers d'agricultors. Venta de vins, tots els vins de proximitat i alguns ecològics. Les bosses que ofereixen són bosses de paper que es poden reutilitzar.",,http://www.km0unio.cat/,https://i.pinimg.com/564x/ce/84/41/ce844160a3d2dd51382d52e955e05a50.jpg,"[41.4030059, 2.1762996]","Carrer de la Marina, 239",Eixample,Sagrada Família,08013,fruits & vegetables,"['Bakery', 'Allows pets', 'For children']",,,"{'10533': 3486.43, '10534': 2355.92, '6669': 2715.57, '11758': 1969.14}"
193,628290eba85a7a5a0184d20e,Sardà,"Venta de productes gurmet: torrons, vins, xocolates, conserves, fruits secs, a granel; alguns dels productes són ecològics.<br />
Els envasos són de paper; algun client porta envàs reutilitzable",,https://www.calsarda.com/ca/,https://i.pinimg.com/564x/83/3b/9a/833b9a1f93b05d381bc442a45fca6197.jpg,"[41.4028103, 2.1763229]","Carrer de la Marina, 237",Eixample,Sagrada Família,08001,restaurant,"['For children', 'Pharmacy', 'Accessible']",,,"{'10533': 3503.78, '10534': 2354.98, '6669': 2701.23, '11758': 1965.91}"
194,628290eba85a7a5a0184d20f,Biodiet,"Alimentació ecològica, suplements nutricionals de procedència nacional, envasos de paper i/o compostables.",,https://www.biodiet.es/,https://cdn.pixabay.com/photo/2016/03/02/20/13/grocery-1232944_1280.jpg,"[41.4070066, 2.1752064]","Carrer del Rosselló, 473",Eixample,Sagrada Família,08001,bar,"['Recycled material', 'Cosmetics', 'Bakery']",,,"{'10533': 3106.11, '10534': 2469.61, '6669': 2997.68, '11758': 2038.8}"
